actionType	chemblIds	targetType	targets
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000101162
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000198033
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000127824
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000258947
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000167552
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000104833
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000261456
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000196230
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000123416
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000167553
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000152086
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000137267
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000137285
INHIBITOR	CHEMBL2109288	protein complex group	ENSG00000176014
AGONIST	CHEMBL1200732	single protein	ENSG00000113580
ANTAGONIST	CHEMBL1201102	single protein	ENSG00000149295
ANTAGONIST	CHEMBL570	single protein	ENSG00000149295
INVERSE AGONIST	CHEMBL220360	single protein	ENSG00000118432
AGONIST	CHEMBL2019090	single protein	ENSG00000188822
INHIBITOR	CHEMBL4297644	single protein	ENSG00000097046
INHIBITOR	CHEMBL2109455	single protein	ENSG00000211891
INHIBITOR	CHEMBL4297743	single protein	ENSG00000182175
ACTIVATOR	CHEMBL4298055	protein complex	ENSG00000113578
ACTIVATOR	CHEMBL4298055	protein complex	ENSG00000134962
AGONIST	CHEMBL2109092	single protein	ENSG00000187266
INHIBITOR	CHEMBL3581647	protein family	ENSG00000204256
INHIBITOR	CHEMBL3581647	protein family	ENSG00000141867
INHIBITOR	CHEMBL3581647	protein family	ENSG00000137948
INHIBITOR	CHEMBL3581647	protein family	ENSG00000169925
INHIBITOR	CHEMBL3545085	single protein	ENSG00000140443
INHIBITOR	CHEMBL4594404	protein complex	
BLOCKER	CHEMBL2107383	single protein	ENSG00000055118
BLOCKER	CHEMBL2111112	single protein	ENSG00000055118
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000196557
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000153956
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000151067
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000157445
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000081248
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000007402
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000157388
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000141837
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000148408
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000006283
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000151062
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000100346
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000102001
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000198216
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000182389
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000165995
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000067191
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000167535
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000105605
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000075429
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000166862
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000075461
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000142408
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000006116
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000130433
MODULATOR	CHEMBL2103836	protein complex group	ENSG00000108878
AGONIST	CHEMBL375611	single protein	ENSG00000198822
INHIBITOR	CHEMBL2103796	protein family	ENSG00000131747
INHIBITOR	CHEMBL2103796	protein family	ENSG00000077097
INHIBITOR	CHEMBL2110580	protein family	ENSG00000131747
INHIBITOR	CHEMBL2110580	protein family	ENSG00000077097
INHIBITOR	CHEMBL2109625	single protein	
ANTAGONIST	CHEMBL728	single protein	ENSG00000149295
AGONIST	CHEMBL2107773	single protein	ENSG00000188778
ANTAGONIST	CHEMBL1201027	single protein	ENSG00000133019
ANTAGONIST	CHEMBL1201335	single protein	ENSG00000133019
INHIBITOR	CHEMBL2108589	single protein	ENSG00000136244
INHIBITOR	CHEMBL2105732	single protein	ENSG00000103546
INHIBITOR	CHEMBL99946	single protein	ENSG00000103546
BINDING AGENT	CHEMBL3301589	single protein	ENSG00000143217
AGONIST	CHEMBL4297883	single protein	ENSG00000186827
INHIBITOR	CHEMBL2364628	single protein	ENSG00000094631
POSITIVE MODULATOR	CHEMBL4802150	single protein	ENSG00000001626
INHIBITOR	CHEMBL1200584	single protein	
INHIBITOR	CHEMBL1169	single protein	
INHIBITOR	CHEMBL1743067	single protein	ENSG00000091972
INHIBITOR	CHEMBL1645462	single protein	ENSG00000141736
INHIBITOR	CHEMBL710	single protein	ENSG00000277893
INHIBITOR	CHEMBL4650989	single protein	ENSG00000047936
INHIBITOR	CHEMBL4297300	single protein	ENSG00000011485
BINDING AGENT	CHEMBL2109582	single protein	ENSG00000041982
CROSS-LINKING AGENT	CHEMBL2109389	single protein	ENSG00000203747
INHIBITOR	CHEMBL3545212	single protein	ENSG00000105976
ANTAGONIST	CHEMBL2360580	single protein	ENSG00000196639
ANTAGONIST	CHEMBL1201271	single protein	ENSG00000196639
AGONIST	CHEMBL1509	single protein	ENSG00000082175
INHIBITOR	CHEMBL4297182	single protein	ENSG00000198400
INHIBITOR	CHEMBL2109342	single protein	ENSG00000160791
INHIBITOR	CHEMBL139	protein family	ENSG00000073756
INHIBITOR	CHEMBL139	protein family	ENSG00000095303
INHIBITOR	CHEMBL3900554	single protein	ENSG00000010671
INHIBITOR	CHEMBL2158685	single protein	ENSG00000063176
ANTAGONIST	CHEMBL1671	single protein	ENSG00000169252
ANTAGONIST	CHEMBL27	single protein	ENSG00000169252
INHIBITOR	CHEMBL70046	single protein	
ANTAGONIST	CHEMBL3707249	single protein	ENSG00000181072
OPENER	CHEMBL181	single protein	ENSG00000121361
INHIBITOR	CHEMBL1201131	protein family	
INHIBITOR	CHEMBL4298213	single protein	ENSG00000215644
INHIBITOR	CHEMBL1173055	protein family	ENSG00000143799
INHIBITOR	CHEMBL1173055	protein family	ENSG00000041880
INHIBITOR	CHEMBL1173055	protein family	ENSG00000129484
ANTAGONIST	CHEMBL3833329	single protein	ENSG00000064989
INHIBITOR	CHEMBL68117	protein family	ENSG00000131747
INHIBITOR	CHEMBL68117	protein family	ENSG00000077097
AGONIST	CHEMBL208427	single protein	ENSG00000188778
ACTIVATOR	CHEMBL1201476	single protein	ENSG00000117601
INHIBITOR	CHEMBL4594404	protein complex	
ANTAGONIST	CHEMBL1742996	single protein	ENSG00000177663
PARTIAL AGONIST	CHEMBL2219425	single protein	ENSG00000149295
INHIBITOR	CHEMBL298734	protein complex	ENSG00000168522
INHIBITOR	CHEMBL298734	protein complex	ENSG00000257365
AGONIST	CHEMBL2109128	single protein	ENSG00000119535
POSITIVE ALLOSTERIC MODULATOR	CHEMBL4297621	single protein	ENSG00000036828
INHIBITOR	CHEMBL3039514	single protein	
INHIBITOR	CHEMBL922	single protein	
AGONIST	CHEMBL3990012	single protein	ENSG00000112164
INHIBITOR	CHEMBL4297645	protein family	
INHIBITOR	CHEMBL210651	single protein	
BLOCKER	CHEMBL783	protein complex	ENSG00000187486
BLOCKER	CHEMBL783	protein complex	ENSG00000006071
ANTAGONIST	CHEMBL1200798	single protein	ENSG00000102468
ANTAGONIST	CHEMBL621	single protein	ENSG00000102468
AGONIST	CHEMBL4297525	single protein	ENSG00000121853
INHIBITOR	CHEMBL4297863	single protein	ENSG00000112115
ANTAGONIST	CHEMBL569713	single protein	ENSG00000168539
OPENER	CHEMBL1256	single protein	ENSG00000169427
NEGATIVE MODULATOR	CHEMBL2108489	single protein	ENSG00000010610
INHIBITOR	CHEMBL4650482	single protein	ENSG00000188389
INHIBITOR	CHEMBL1230065	single protein	ENSG00000112062
INHIBITOR	CHEMBL2105659	single protein	ENSG00000127472
ANTAGONIST	CHEMBL3545357	single protein	ENSG00000143365
ANTAGONIST	CHEMBL1743032	protein complex	ENSG00000138448
ANTAGONIST	CHEMBL1743032	protein complex	ENSG00000082781
ANTAGONIST	CHEMBL1739	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1739	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1739	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1739	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1739	protein complex group	ENSG00000108556
ANTAGONIST	CHEMBL1259	protein complex group	ENSG00000138435
ANTAGONIST	CHEMBL1259	protein complex group	ENSG00000196811
ANTAGONIST	CHEMBL1259	protein complex group	ENSG00000170175
ANTAGONIST	CHEMBL1259	protein complex group	ENSG00000135902
ANTAGONIST	CHEMBL1259	protein complex group	ENSG00000108556
INHIBITOR	CHEMBL898	protein family	ENSG00000073756
INHIBITOR	CHEMBL898	protein family	ENSG00000095303
AGONIST	CHEMBL1200791	protein family	ENSG00000120907
AGONIST	CHEMBL1200791	protein family	ENSG00000150594
AGONIST	CHEMBL1200791	protein family	ENSG00000184160
AGONIST	CHEMBL1200791	protein family	ENSG00000171873
AGONIST	CHEMBL1200791	protein family	ENSG00000170214
AGONIST	CHEMBL1200791	protein family	ENSG00000274286
AGONIST	CHEMBL762	protein family	ENSG00000120907
AGONIST	CHEMBL762	protein family	ENSG00000150594
AGONIST	CHEMBL762	protein family	ENSG00000184160
AGONIST	CHEMBL762	protein family	ENSG00000171873
AGONIST	CHEMBL762	protein family	ENSG00000170214
AGONIST	CHEMBL762	protein family	ENSG00000274286
INHIBITOR	CHEMBL1483	protein complex group	
VACCINE ANTIGEN	CHEMBL4650424	single protein	ENSG00000089685
INHIBITOR	CHEMBL2108738	single protein	ENSG00000188389
INHIBITOR	CHEMBL19	single protein	ENSG00000168748
INHIBITOR	CHEMBL4297503	single protein	
INHIBITOR	CHEMBL4297692	single protein	
INHIBITOR	CHEMBL2016893	protein family	ENSG00000105221
INHIBITOR	CHEMBL2016893	protein family	ENSG00000117020
INHIBITOR	CHEMBL2016893	protein family	ENSG00000142208
INHIBITOR	CHEMBL2180604	protein complex	ENSG00000113721
INHIBITOR	CHEMBL2180604	protein complex	ENSG00000134853
INHIBITOR	CHEMBL4297522	single protein	ENSG00000068078
INHIBITOR	CHEMBL3545097	single protein	ENSG00000198793
BLOCKER	CHEMBL1200606	protein family	ENSG00000144285
BLOCKER	CHEMBL1200606	protein family	ENSG00000183873
BLOCKER	CHEMBL1200606	protein family	ENSG00000007314
BLOCKER	CHEMBL1200606	protein family	ENSG00000136546
BLOCKER	CHEMBL1200606	protein family	ENSG00000136531
BLOCKER	CHEMBL1200606	protein family	ENSG00000169432
BLOCKER	CHEMBL1200606	protein family	ENSG00000153253
BLOCKER	CHEMBL1200606	protein family	ENSG00000168356
BLOCKER	CHEMBL1200606	protein family	ENSG00000196876
BLOCKER	CHEMBL1200606	protein family	ENSG00000185313
BLOCKER	CHEMBL558	protein family	ENSG00000144285
BLOCKER	CHEMBL558	protein family	ENSG00000183873
BLOCKER	CHEMBL558	protein family	ENSG00000007314
BLOCKER	CHEMBL558	protein family	ENSG00000136546
BLOCKER	CHEMBL558	protein family	ENSG00000136531
BLOCKER	CHEMBL558	protein family	ENSG00000169432
BLOCKER	CHEMBL558	protein family	ENSG00000153253
BLOCKER	CHEMBL558	protein family	ENSG00000168356
BLOCKER	CHEMBL558	protein family	ENSG00000196876
BLOCKER	CHEMBL558	protein family	ENSG00000185313
INHIBITOR	CHEMBL3545191	single protein	ENSG00000132855
BLOCKER	CHEMBL1201063	protein family	ENSG00000144285
BLOCKER	CHEMBL1201063	protein family	ENSG00000183873
BLOCKER	CHEMBL1201063	protein family	ENSG00000007314
BLOCKER	CHEMBL1201063	protein family	ENSG00000136546
BLOCKER	CHEMBL1201063	protein family	ENSG00000136531
BLOCKER	CHEMBL1201063	protein family	ENSG00000169432
BLOCKER	CHEMBL1201063	protein family	ENSG00000153253
BLOCKER	CHEMBL1201063	protein family	ENSG00000168356
BLOCKER	CHEMBL1201063	protein family	ENSG00000196876
BLOCKER	CHEMBL1201063	protein family	ENSG00000185313
BLOCKER	CHEMBL631	protein family	ENSG00000144285
BLOCKER	CHEMBL631	protein family	ENSG00000183873
BLOCKER	CHEMBL631	protein family	ENSG00000007314
BLOCKER	CHEMBL631	protein family	ENSG00000136546
BLOCKER	CHEMBL631	protein family	ENSG00000136531
BLOCKER	CHEMBL631	protein family	ENSG00000169432
BLOCKER	CHEMBL631	protein family	ENSG00000153253
BLOCKER	CHEMBL631	protein family	ENSG00000168356
BLOCKER	CHEMBL631	protein family	ENSG00000196876
BLOCKER	CHEMBL631	protein family	ENSG00000185313
INHIBITOR	CHEMBL3984441	single protein	ENSG00000105976
AGONIST	CHEMBL1201546	single protein	ENSG00000171105
ANTAGONIST	CHEMBL1133	single protein	ENSG00000133019
ANTAGONIST	CHEMBL1231	single protein	ENSG00000133019
AGONIST	CHEMBL2108973	single protein	ENSG00000171105
AGONIST	CHEMBL1201564	protein complex	ENSG00000159128
AGONIST	CHEMBL1201564	protein complex	ENSG00000027697
INHIBITOR	CHEMBL4297323	single protein	ENSG00000181104
INHIBITOR	CHEMBL3545217	single protein	ENSG00000096968
ANTAGONIST	CHEMBL3545271	single protein	ENSG00000128271
INHIBITOR	CHEMBL4298089	single protein	ENSG00000147257
INHIBITOR	CHEMBL4650488	single protein	
BINDING AGENT	CHEMBL4297558	single protein	ENSG00000012124
POSITIVE ALLOSTERIC MODULATOR	CHEMBL3989820	protein complex	ENSG00000022355
POSITIVE ALLOSTERIC MODULATOR	CHEMBL3989820	protein complex	ENSG00000113327
POSITIVE ALLOSTERIC MODULATOR	CHEMBL3989820	protein complex	ENSG00000163288
POSITIVE ALLOSTERIC MODULATOR	CHEMBL911	protein complex	ENSG00000022355
POSITIVE ALLOSTERIC MODULATOR	CHEMBL911	protein complex	ENSG00000113327
POSITIVE ALLOSTERIC MODULATOR	CHEMBL911	protein complex	ENSG00000163288
AGONIST	CHEMBL1200671	single protein	ENSG00000109163
AGONIST	CHEMBL1201309	single protein	ENSG00000109163
AGONIST	CHEMBL1768	single protein	ENSG00000181072
AGONIST	CHEMBL1482	single protein	ENSG00000181072
INHIBITOR	CHEMBL1241951	protein complex	
AGONIST	CHEMBL278623	single protein	ENSG00000121853
INHIBITOR	CHEMBL4297556	protein complex	ENSG00000141736
INHIBITOR	CHEMBL4297556	protein complex	ENSG00000065361
ANTAGONIST	CHEMBL1200950	single protein	ENSG00000133019
ANTAGONIST	CHEMBL620	single protein	ENSG00000133019
INHIBITOR	CHEMBL3989559	protein complex	ENSG00000105675
INHIBITOR	CHEMBL3989559	protein complex	ENSG00000186009
INHIBITOR	CHEMBL1502	protein complex	ENSG00000105675
INHIBITOR	CHEMBL1502	protein complex	ENSG00000186009
BLOCKER	CHEMBL4297583	protein complex	ENSG00000105675
BLOCKER	CHEMBL4297583	protein complex	ENSG00000186009
AGONIST	CHEMBL2108569	single protein	ENSG00000171105
INHIBITOR	CHEMBL56337	single protein	ENSG00000085662
INHIBITOR	CHEMBL1980297	protein family	ENSG00000010810
INHIBITOR	CHEMBL1980297	protein family	ENSG00000197122
INHIBITOR	CHEMBL1980297	protein family	ENSG00000182866
INHIBITOR	CHEMBL1980297	protein family	ENSG00000176105
INHIBITOR	CHEMBL1980297	protein family	ENSG00000136573
INHIBITOR	CHEMBL1980297	protein family	ENSG00000101336
INHIBITOR	CHEMBL1980297	protein family	ENSG00000254087
INHIBITOR	CHEMBL1980297	protein family	ENSG00000111816
INHIBITOR	CHEMBL1980297	protein family	ENSG00000000938
INHIBITOR	CHEMBL1980297	protein family	ENSG00000125508
ANTAGONIST	CHEMBL1257040	protein family	ENSG00000149295
ANTAGONIST	CHEMBL1257040	protein family	ENSG00000151577
ANTAGONIST	CHEMBL1257040	protein family	ENSG00000069696
ANTAGONIST	CHEMBL422	protein family	ENSG00000149295
ANTAGONIST	CHEMBL422	protein family	ENSG00000151577
ANTAGONIST	CHEMBL422	protein family	ENSG00000069696
INHIBITOR	CHEMBL3545111	single protein	ENSG00000141736
INHIBITOR	CHEMBL1743016	single protein	ENSG00000110195
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000022355
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000145864
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000113327
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000166206
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000109158
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000182256
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000268089
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000011677
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000094755
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000187730
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000163285
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000163288
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000102287
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000151834
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000186297
POSITIVE ALLOSTERIC MODULATOR	CHEMBL1200703	protein complex group	ENSG00000145863
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000022355
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000145864
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000113327
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000166206
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000109158
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000182256
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000268089
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000011677
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000094755
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000187730
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000163285
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000163288
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000102287
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000151834
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000186297
POSITIVE ALLOSTERIC MODULATOR	CHEMBL451	protein complex group	ENSG00000145863
INHIBITOR	CHEMBL1094636	single protein	ENSG00000129484
INHIBITOR	CHEMBL2109249	single protein	ENSG00000160223
INHIBITOR	CHEMBL2109467	single protein	ENSG00000164136
INHIBITOR	CHEMBL1743089	single protein	ENSG00000099250
AGONIST	CHEMBL139835	single protein	ENSG00000082175
INHIBITOR	CHEMBL1518	single protein	ENSG00000115705
ANTAGONIST	CHEMBL1908373	single protein	ENSG00000082175
INHIBITOR	CHEMBL1200438	single protein	
ANTAGONIST	CHEMBL1200880	single protein	ENSG00000168539
ANTAGONIST	CHEMBL1201340	single protein	ENSG00000168539
BINDING AGENT	CHEMBL4298088	single protein	ENSG00000146648
CROSS-LINKING AGENT	CHEMBL2108581	single protein	ENSG00000119888
AGONIST	CHEMBL4297622	single protein	ENSG00000174417
ANTAGONIST	CHEMBL2364629	single protein	ENSG00000064989
ANTAGONIST	CHEMBL2178422	single protein	ENSG00000064989
INHIBITOR	CHEMBL3545250	single protein	ENSG00000171608
INHIBITOR	CHEMBL4594518	single protein	ENSG00000125538
AGONIST	CHEMBL3707313	single protein	ENSG00000172819
BLOCKER	CHEMBL1201023	protein family	ENSG00000144285
BLOCKER	CHEMBL1201023	protein family	ENSG00000183873
BLOCKER	CHEMBL1201023	protein family	ENSG00000007314
BLOCKER	CHEMBL1201023	protein family	ENSG00000136546
BLOCKER	CHEMBL1201023	protein family	ENSG00000136531
BLOCKER	CHEMBL1201023	protein family	ENSG00000169432
BLOCKER	CHEMBL1201023	protein family	ENSG00000153253
BLOCKER	CHEMBL1201023	protein family	ENSG00000168356
BLOCKER	CHEMBL1201023	protein family	ENSG00000196876
BLOCKER	CHEMBL1201023	protein family	ENSG00000185313
BLOCKER	CHEMBL900	protein family	ENSG00000144285
BLOCKER	CHEMBL900	protein family	ENSG00000183873
BLOCKER	CHEMBL900	protein family	ENSG00000007314
BLOCKER	CHEMBL900	protein family	ENSG00000136546
BLOCKER	CHEMBL900	protein family	ENSG00000136531
BLOCKER	CHEMBL900	protein family	ENSG00000169432
BLOCKER	CHEMBL900	protein family	ENSG00000153253
BLOCKER	CHEMBL900	protein family	ENSG00000168356
BLOCKER	CHEMBL900	protein family	ENSG00000196876
BLOCKER	CHEMBL900	protein family	ENSG00000185313
ANTAGONIST	CHEMBL2105760	single protein	ENSG00000102468
AGONIST	CHEMBL1315867	single protein	ENSG00000169252
AGONIST	CHEMBL1760	single protein	ENSG00000169252
ACTIVATOR	CHEMBL119549	single protein	ENSG00000156113
INHIBITOR	CHEMBL2109459	single protein	ENSG00000125538
INHIBITOR	CHEMBL2103825	single protein	ENSG00000182333
INHIBITOR	CHEMBL3187812	single protein	ENSG00000159640
AGONIST	CHEMBL1614652	single protein	ENSG00000178394
INHIBITOR	CHEMBL3833346	nucleic-acid	ENSG00000142168
INHIBITOR	CHEMBL562967	single protein	
INHIBITOR	CHEMBL3545427	single protein	ENSG00000122025
AGONIST	CHEMBL1200521	single protein	ENSG00000135312
AGONIST	CHEMBL1505	single protein	ENSG00000135312
INHIBITOR	CHEMBL3545195	single protein	ENSG00000078061
INHIBITOR	CHEMBL4213970	single protein	ENSG00000100030
INHIBITOR	CHEMBL564829	single protein	ENSG00000198400
MODULATOR	CHEMBL3545047	single protein	ENSG00000025434
BLOCKER	CHEMBL1201754	protein family	ENSG00000144285
BLOCKER	CHEMBL1201754	protein family	ENSG00000183873
BLOCKER	CHEMBL1201754	protein family	ENSG00000007314
BLOCKER	CHEMBL1201754	protein family	ENSG00000136546
BLOCKER	CHEMBL1201754	protein family	ENSG00000136531
BLOCKER	CHEMBL1201754	protein family	ENSG00000169432
BLOCKER	CHEMBL1201754	protein family	ENSG00000153253
BLOCKER	CHEMBL1201754	protein family	ENSG00000168356
BLOCKER	CHEMBL1201754	protein family	ENSG00000196876
BLOCKER	CHEMBL1201754	protein family	ENSG00000185313
ANTAGONIST	CHEMBL3304244	single protein	ENSG00000125510
INHIBITOR	CHEMBL443684	single protein	ENSG00000258643
INHIBITOR	CHEMBL443684	single protein	ENSG00000129473
INHIBITOR	CHEMBL606260	protein family	
INHIBITOR	CHEMBL1214	protein family	
INHIBITOR	CHEMBL1088751	single protein	ENSG00000112062
INHIBITOR	CHEMBL3545050	single protein	ENSG00000128052
INHIBITOR	CHEMBL3545133	single protein	ENSG00000254087
ANTAGONIST	CHEMBL1371200	single protein	ENSG00000151623
ANTAGONIST	CHEMBL1616951	single protein	ENSG00000151623
INHIBITOR	CHEMBL4297596	single protein	ENSG00000092009
BINDING AGENT	CHEMBL2109308	single protein	ENSG00000177455
INHIBITOR	CHEMBL4594547	single protein	ENSG00000242950
INHIBITOR	CHEMBL1370561	protein family	ENSG00000065989
INHIBITOR	CHEMBL1370561	protein family	ENSG00000113448
INHIBITOR	CHEMBL1370561	protein family	ENSG00000184588
INHIBITOR	CHEMBL1370561	protein family	ENSG00000105650
INHIBITOR	CHEMBL190	protein family	ENSG00000065989
INHIBITOR	CHEMBL190	protein family	ENSG00000113448
INHIBITOR	CHEMBL190	protein family	ENSG00000184588
INHIBITOR	CHEMBL190	protein family	ENSG00000105650
AGONIST	CHEMBL383322	single protein	ENSG00000196664
INHIBITOR	CHEMBL3545078	single protein	ENSG00000178999
INHIBITOR	CHEMBL1743029	single protein	ENSG00000010610
INHIBITOR	CHEMBL796	single protein	ENSG00000103546
ANTAGONIST	CHEMBL4594310	single protein	ENSG00000104870
INHIBITOR	CHEMBL276711	protein family	ENSG00000102755
INHIBITOR	CHEMBL276711	protein family	ENSG00000037280
INHIBITOR	CHEMBL276711	protein family	ENSG00000128052
INHIBITOR	CHEMBL3989823	protein nucleic-acid complex	
INHIBITOR	CHEMBL3085436	protein nucleic-acid complex	
INHIBITOR	CHEMBL4065616	single protein	
AGONIST	CHEMBL4091374	protein family	ENSG00000132170
AGONIST	CHEMBL4091374	protein family	ENSG00000186951
AGONIST	CHEMBL4091374	protein family	ENSG00000112033
ANTAGONIST	CHEMBL243712	selectivity group	ENSG00000149295
ANTAGONIST	CHEMBL243712	selectivity group	ENSG00000151577
INHIBITOR	CHEMBL3545168	single protein	ENSG00000104365
AGONIST	CHEMBL3833353	protein complex	ENSG00000004948
AGONIST	CHEMBL3833353	protein complex	ENSG00000131477
AGONIST	CHEMBL2103758	protein complex	ENSG00000004948
AGONIST	CHEMBL2103758	protein complex	ENSG00000131477
INHIBITOR	CHEMBL3039515	single protein	ENSG00000125255
INHIBITOR	CHEMBL1200485	single protein	ENSG00000122025
INHIBITOR	CHEMBL1336	single protein	ENSG00000122025
INHIBITOR	CHEMBL3545328	single protein	ENSG00000096968
INHIBITOR	CHEMBL1946170	single protein	ENSG00000185386
INHIBITOR	CHEMBL3989830	protein family	ENSG00000108576
INHIBITOR	CHEMBL3989830	protein family	ENSG00000142319
INHIBITOR	CHEMBL3989830	protein family	ENSG00000103546
INHIBITOR	CHEMBL1419	protein family	ENSG00000108576
INHIBITOR	CHEMBL1419	protein family	ENSG00000142319
INHIBITOR	CHEMBL1419	protein family	ENSG00000103546
INHIBITOR	CHEMBL3545296	single protein	ENSG00000157764
AGONIST	CHEMBL4297721	single protein	ENSG00000101017
ANTAGONIST	CHEMBL30	single protein	ENSG00000113749
ANTAGONIST	CHEMBL361812	single protein	ENSG00000183134
AGONIST	CHEMBL2111290	single protein	ENSG00000106128
AGONIST	CHEMBL1237026	single protein	ENSG00000106128
INHIBITOR	CHEMBL3039502	single protein	ENSG00000171608
INHIBITOR	CHEMBL1090089	single protein	ENSG00000112062
AGONIST	CHEMBL278703	single protein	ENSG00000140009
INHIBITOR	CHEMBL2109587	single protein	ENSG00000232810
ANTAGONIST	CHEMBL3545393	single protein	ENSG00000151623
INHIBITOR	CHEMBL522038	single protein	ENSG00000180210
INHIBITOR	CHEMBL2109664	single protein	ENSG00000169245
INHIBITOR	CHEMBL3182621	single protein	ENSG00000169032
INHIBITOR	CHEMBL1201192	single protein	ENSG00000142319
ANTAGONIST	CHEMBL1237102	single protein	ENSG00000196639
ANTAGONIST	CHEMBL1615438	single protein	ENSG00000196639
ANTAGONIST	CHEMBL2016681	single protein	ENSG00000164129
INHIBITOR	CHEMBL3545133	single protein	ENSG00000178568
ANTAGONIST	CHEMBL518924	single protein	ENSG00000121966
INHIBITOR	CHEMBL2109457	single protein	ENSG00000211891
INHIBITOR	CHEMBL1231124	single protein	ENSG00000096968
